FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200107;0000;12;;;
200108;0000;12;;;
200109;0000;10;;;
200110;0000;12;;;
200111;0000;10;;;
200112;0000;12;;;
200113;0000;12;;;
200114;0000;11;;;
200115;0000;12;;;
200116;0000;11;;;
200117;0000;9;;;
200118;0000;13;;;
200119;0000;11;;;
200120;0000;9;;;
200121;0000;7;;;
200122;0000;9;;;
200123;0000;12;;;
200124;0000;13;;;
200125;0000;14;;;
200126;0000;15;;;
200127;0000;13;;;
200128;0000;11;;;
200129;0000;13;;;
200130;0000;12;;;
200131;0000;13;;;
200201;0000;12;;;
200202;0000;14;;;
200203;0000;12;;;
200204;0000;11;;;
200205;0000;10;;;
200206;0000;7;;;
200207;0000;8;;;
200208;0000;9;;;
200209;0000;9;;;
200210;0000;10;;;
200211;0000;10;;;
200212;0000;12;;;
200213;0000;11;;;
200214;0000;12;;;
200215;0000;14;;;
200216;0000;13;;;
200217;0000;12;;;
200218;0000;14;;;
200219;0000;13;;;
200220;0000;9;;;
200221;0000;10;;;
200222;0000;11;;;
200223;0000;13;;;
200224;0000;13;;;
200225;0000;13;;;
200226;0000;8;;;
200227;0000;11;;;
200228;0000;12;;;
200229;0000;9;;;
200301;0000;9;;;
200302;0000;10;;;
200303;0000;10;;;
200304;0000;8;;;
200305;0000;8;;;
200306;0000;10;;;
200307;0000;15;;;
200308;0000;14;;;
200309;0000;;;;
200310;0000;;;;
200311;0000;;;;
200312;0000;;;;
200313;0000;14;;;
200314;0000;19;;;
200315;0000;16;;;
200316;0000;11;;;
200317;0000;14;;;
200318;0000;19;;;
200319;0000;18;;;
200320;0000;16;;;
200321;0000;13;;;
200322;0000;18;;;
200323;0000;15;;;
200324;0000;17;;;
200325;0000;;;;
200326;0000;;;;
200327;0000;16;;;
200328;0000;17;;;
200329;0000;13;;;
200330;0000;14;;;
200331;0000;12;;;
200401;0000;18;;;
200402;0000;16;;;
200403;0000;19;;;
200404;0000;24;;;
200405;0000;22;;;
200406;0000;;;;
200407;0000;;;;
200408;0000;8;;;
200409;0000;10;;;
200410;0000;17;;;
200411;0000;22;;;
200412;0000;19;;;
200413;0000;14;;;
200414;0000;13;;;
200415;0000;6;;;
200416;0000;6;;;
200417;0000;15;;;
200418;0000;17;;;
200419;0000;21;;;
200420;0000;17;;;
200421;0000;14;;;
200422;0000;9;;;
200423;0000;8;;;
200424;0000;10;;;
200425;0000;9;;;
200426;0000;7;;;
200427;0000;5;;;
200428;0000;6;;;
200429;0000;11;;;
200430;0000;15;;;
200501;0000;7;;;
200502;0000;8;;;
200503;0000;12;;;
200504;0000;8;;;
200505;0000;8;;;
200506;0000;9;;;
200507;0000;7;;;
200508;0000;8;;;
200509;0000;18;;;
200510;0000;20;;;
200511;0000;23;;;
200512;0000;15;;;
200513;0000;3;;;
200514;0000;2;;;
200515;0000;9;;;
200516;0000;24;;;
200517;0000;19;;;
200518;0000;21;;;
200519;0000;20;;;
200520;0000;11;;;
200521;0000;12;;;
200522;0000;;;15;
200523;0000;;;31;
200524;0000;;;32;
200525;0000;;;30;
200526;0000;;;32;
200527;0000;;;30;
200528;0000;;;28;
200529;0000;;;19;
200530;0000;;;24;
200531;0000;;;31;
200601;0000;;;27;
200602;0000;;;31;
200603;0000;;;29;
200604;0000;;;32;
200605;0000;;;30;
200606;0000;;;30;
200607;0000;;;36;
200608;0000;;;34;
200609;0000;;;35;
200610;0000;;;35;
200611;0000;;;30;
200612;0000;;;34;
200613;0000;;;34;
200614;0000;;;40;
200615;0000;;;46;
200616;0000;;;44;
200617;0000;;;32;
200618;0000;;;29;
200619;0000;33;;;
200620;0000;21;;;
200621;0000;13;;;
200622;0000;10;;;
200623;0000;13;;;
200624;0000;11;;;
200625;0000;6;;;
200626;0000;6;;;
200627;0000;8;;;
200628;0000;8;;;
200629;0000;6;;;
200630;0000;2;;;
200701;0000;3;;;
200702;0000;2;;;
200703;0000;5;;;
200704;0000;3;;;
200705;0000;4;;;
200706;0000;2;;;
200707;0000;1;;;
200708;0000;5;;;
200709;0000;6;;;
200710;0000;7;;;
200711;0000;8;;;
200712;0000;8;;;
200713;0000;7;;;
200714;0000;3;;;
200715;0000;1;;;
200716;0000;2;;;
200717;0000;1;;;
200718;0000;2;;;
200719;0000;2;;;
200720;0000;4;;;
200721;0000;9;;;
200722;0000;8;;;
200723;0000;7;;;
200724;0000;6;;;
200725;0000;5;;;
200726;0000;6;;;
200727;0000;7;;;
200728;0000;6;;;
200729;0000;6;;;
200730;0000;2;;;
200731;0000;1;;;
200801;0000;5;;;
200802;0000;7;;;
200803;0000;6;;;
200804;0000;7;;;
200805;0000;4;;;
200806;0000;8;;;
200807;0000;6;;;
200808;0000;5;;;
200809;0000;4;;;
200810;0000;8;;;
200811;0000;13;;;
200812;0000;;;;
200813;0000;18;;;
200814;0000;14;;;
200815;0000;14;;;
200816;0000;17;;;
200817;0000;15;;;
200818;0000;11;;;
200819;0000;9;;;
200820;0000;14;;;
200821;0000;15;;;
200822;0000;15;;;
200823;0000;17;;;
200824;0000;14;;;
200825;0000;13;;;
200826;0000;8;;;
200827;0000;15;;;
200828;0000;16;;;
200829;0000;18;;;
200830;0000;17;;;
200831;0000;10;;;
200901;0000;6;;;
200902;0000;10;;;
200903;0000;17;;;
200904;0000;16;;;
200905;0000;11;;;
200906;0000;13;;;
200907;0000;9;;;
200908;0000;16;;;
200909;0000;16;;;
200910;0000;14;;;
200911;0000;19;;;
200912;0000;21;;;
200913;0000;20;;;
200914;0000;;;;
200915;0000;;;;
200916;0000;15;;;
200917;0000;21;;;
200918;0000;22;;;
200919;0000;19;;;
200920;0000;12;;;
200921;0000;13;;;
200922;0000;20;;;
200923;0000;19;;;
200924;0000;19;;;
200925;0000;19;;;
200926;0000;18;;;
200927;0000;18;;;
200928;0000;18;;;
200929;0000;17;;;
200930;0000;21;;;
201001;0000;19;;;
201002;0000;16;;;
201003;0000;15;;;
201004;0000;18;;;
201005;0000;21;;;
201006;0000;19;;;
201007;0000;20;;;
201008;0000;19;;;
201009;0000;17;;;
201010;0000;17;;;
201011;0000;21;;;
201012;0000;19;;;
201013;0000;20;;;
201014;0000;20;;;
201015;0000;17;;;
201016;0000;14;;;
201017;0000;16;;;
201018;0000;21;;;
201019;0000;18;;;
201020;0000;15;;;
201021;0000;11;;;
201022;0000;15;;;
201023;0000;11;;;
201024;0000;15;;;
201025;0000;18;;;
201026;0000;18;;;
201027;0000;16;;;
201028;0000;16;;;
201029;0000;16;;;
201030;0000;14;;;
201031;0000;14;;;
201101;0000;16;;;
201102;0000;12;;;
201103;0000;16;;;
201104;0000;15;;;
201105;0000;14;;;
201106;0000;14;;;
201107;0000;13;;;
201108;0000;12;;;
201109;0000;12;;;
201110;0000;13;;;
201111;0000;8;;;
201112;0000;14;;;
201113;0000;14;;;
201114;0000;16;;;
201115;0000;14;;;
201116;0000;11;;;
201117;0000;11;;;
201118;0000;12;;;
201119;0000;11;;;
201120;0000;13;;;
201121;0000;14;;;
201122;0000;14;;;
201123;0000;;;;
201124;0000;;;;
201125;0000;13;;;
201126;0000;12;;;
201127;0000;10;;;
201128;0000;12;;;
201129;0000;11;;;
201130;0000;11;;;
201201;0000;13;;;
201202;0000;11;;;
201203;0000;10;;;
201204;0000;10;;;
201205;0000;9;;;
201206;0000;8;;;
201207;0000;12;;;
201208;0000;10;;;
201209;0000;8;;;
201210;0000;10;;;
201211;0000;14;;;
201212;0000;13;;;
201213;0000;14;;;
201214;0000;13;;;
201215;0000;13;;;
201216;0000;14;;;
201217;0000;11;;;
201218;0000;11;;;
201219;0000;12;;;
201220;0000;12;;;
201221;0000;13;;;
201222;0000;14;;;
201223;0000;11;;;
201224;0000;14;;;
201225;0000;12;;;
201226;0000;7;;;
201227;0000;6;;;
201228;0000;6;;;
201229;0000;8;;;
201230;0000;11;;;
201231;0000;10;;;
210101;0000;13;;;
210102;0000;10;;;
210103;0000;13;;;
210104;0000;11;;;
210105;0000;12;;;
210106;0000;10;;;
210107;0000;12;;;
210108;0000;10;;;
210109;0000;10;;;
210110;0000;11;;;
210111;0000;10;;;
210112;0000;9;;;
210113;0000;9;;;
210114;0000;10;;;
210115;0000;8;;;
210116;0000;9;;;
210117;0000;10;;;
210118;0000;6;;;
210119;0000;9;;;
210120;0000;8;;;
210121;0000;8;;;
210122;0000;6;;;
210123;0000;10;;;
210124;0000;9;;;
210125;0000;9;;;
210126;0000;8;;;
210127;0000;6;;;
210128;0000;9;;;
210129;0000;8;;;
210130;0000;6;;;
210131;0000;7;;;
210201;0000;7;;;
210202;0000;;;;
210203;0000;;;;
210204;0000;;;;
210205;0000;9;;;
210206;0000;12;;;
210207;0000;11;;;
210208;0000;9;;;
210209;0000;10;;;
210210;0000;11;;;
210211;0000;10;;;
210212;0000;12;;;
210213;0000;13;;;
210214;0000;13;;;
210215;0000;8;;;
210216;0000;9;;;
210217;0000;9;;;
210218;0000;9;;;
210219;0000;9;;;
210220;0000;11;;;
210221;0000;9;;;
210222;0000;9;;;
210223;0000;9;;;
210224;0000;6;;;
210225;0000;7;;;
210226;0000;9;;;
210227;0000;6;;;
210228;0000;6;;;
210301;0000;9;;;
210302;0000;7;;;
210303;0000;5;;;
210304;0000;6;;;
210305;0000;9;;;
210306;0000;14;;;
210307;0000;15;;;
210308;0000;11;;;
210309;0000;6;;;
210310;0000;11;;;
210311;0000;10;;;
210312;0000;9;;;
210313;0000;9;;;
210314;0000;6;;;
210315;0000;9;;;
210316;0000;9;;;
210317;0000;6;;;
210318;0000;7;;;
210319;0000;10;;;
210320;0000;11;;;
210321;0000;9;;;
210322;0000;9;;;
210323;0000;12;;;
210324;0000;11;;;
210325;0000;9;;;
210326;0000;11;;;
210327;0000;10;;;
210328;0000;9;;;
210329;0000;7;;;
210330;0000;8;;;
210331;0000;11;;;
210401;0000;7;;;
210402;0000;8;;;
210403;0000;13;;;
210404;0000;8;;;
210405;0000;7;;;
210406;0000;10;;;
210407;0000;13;;;
210408;0000;10;;;
210409;0000;8;;;
210410;0000;12;;;
210411;0000;13;;;
210412;0000;13;;;
210413;0000;11;;;
210414;0000;15;;;
210415;0000;15;;;
210416;0000;14;;;
210417;0000;8;;;
210418;0000;4;;;
210419;0000;12;;;
210420;0000;7;;;
210421;0000;9;;;
210422;0000;9;;;
210423;0000;8;;;
210424;0000;10;;;
210425;0000;10;;;
210426;0000;11;;;
210427;0000;11;;;
210428;0000;12;;;
210429;0000;8;;;
210430;0000;8;;;
210501;0000;9;;;
210502;0000;16;;;
210503;0000;11;;;
210504;0000;7;;;
210505;0000;2;;;
210506;0000;2;;;
210507;0000;2;;;
210508;0000;5;;;
210509;0000;9;;;
210510;0000;6;;;
210511;0000;6;;;
210512;0000;14;;;
210513;0000;11;;;
210514;0000;2;;;
210515;0000;9;;;
210516;0000;3;;;
210517;0000;2;;;
210518;0000;2;;;
210519;0000;1;;;
210520;0000;2;;;
210521;0000;2;;;
210522;0000;6;;;
210523;0000;9;;;
210524;0000;17;;;
210525;0000;14;;;
210526;0000;12;;;
210527;0000;11;;;
210528;0000;11;;;
210529;0000;15;;;
210530;0000;14;;;
210531;0000;12;;;
210601;0000;18;;;
210602;0000;12;;;
210603;0000;11;;;
210604;0000;17;;;
210605;0000;18;;;
210606;0000;14;;;
210607;0000;8;;;
210608;0000;15;;;
210609;0000;15;;;
210610;0000;14;;;
210611;0000;12;;;
210612;0000;19;;;
210613;0000;16;;;
210614;0000;14;;;
210615;0000;4;;;
210616;0000;2;;;
210617;0000;3;;;
210618;0000;2;;;
210619;0000;6;;;
210620;0000;5;;;
210621;0000;6;;;
210622;0000;2;;;
210623;0000;4;;;
210624;0000;13;;;
210625;0000;16;;;
210626;0000;11;;;
210627;0000;6;;;
210628;0000;4;;;
210629;0000;2;;;
210630;0000;5;;;
210701;0000;19;;;
210702;0000;19;;;
210703;0000;24;;;
210704;0000;18;;;
210705;0000;14;;;
210706;0000;12;;;
210707;0000;14;;;
210708;0000;9;;;
210709;0000;16;;;
210710;0000;23;;;
210711;0000;26;;;
210712;0000;21;;;
210713;0000;17;;;
210714;0000;;17;;
210715;0000;;20;;
210716;0000;;22;;
210717;0000;;19;;
210718;0000;;17;;
210719;0000;;18;;
210720;0000;;21;;
210721;0000;;13;;
210722;0000;;22;;
210723;0000;;24;;
210724;0000;;11;;
210725;0000;;21;;
210726;0000;;20;;
210727;0000;;18;;
210728;0000;;19;;
210729;0000;;18;;
210730;0000;;22;;
210731;0000;;20;;
210801;0000;;24;;
210802;0000;;20;;
210803;0000;;17;;
210804;0000;;5;;
210805;0000;;19;;
210806;0000;23;;;
210807;0000;24;;;
210808;0000;21;;;
210809;0000;19;;;
210810;0000;18;;;
210811;0000;11;;;
210812;0000;12;;;
210813;0000;17;;;
210814;0000;18;;;
210815;0000;6;;;
210816;0000;13;;;
210817;0000;20;;;
210818;0000;13;;;
210819;0000;18;;;
210820;0000;7;;;
210821;0000;7;;;
210822;0000;16;;;
210823;0000;20;;;
210824;0000;22;;;
210825;0000;19;;;
210826;0000;14;;;
210827;0000;6;;;
210828;0000;18;;;
210829;0000;9;;;
210830;0000;;;;
210831;0000;12;;;
210901;0000;8;;;
210902;0000;5;;;
210903;0000;7;;;
210904;0000;10;;;
210905;0000;7;;;
210906;0000;8;;;
210907;0000;9;;;
210908;0000;16;;;
210909;0000;14;;;
210910;0000;12;;;
210911;0000;15;;;
210912;0000;20;;;
210913;0000;19;;;
210914;0000;22;;;
210915;0000;19;;;
210916;0000;17;;;
210917;0000;19;;;
210918;0000;17;;;
210919;0000;16;;;
210920;0000;17;;;
210921;0000;11;;;
210922;0000;15;;;
210923;0000;18;;;
210924;0000;17;;;
210925;0000;21;;;
210926;0000;19;;;
210927;0000;18;;;
210928;0000;19;;;
210929;0000;17;;;
210930;0000;;;;
211001;0000;9;;;
211002;0000;13;;;
211003;0000;17;;;
211004;0000;15;;;
211005;0000;14;;;
211006;0000;14;;;
211007;0000;11;;;
211008;0000;11;;;
211009;0000;11;;;
211010;0000;12;;;
211011;0000;14;;;
211012;0000;11;;;
211013;0000;14;;;
211014;0000;14;;;
211015;0000;15;;;
211016;0000;16;;;
211017;0000;14;;;
211018;0000;11;;;
211019;0000;8;;;
211020;0000;11;;;
211021;0000;14;;;
211022;0000;13;;;
211023;0000;17;;;
211024;0000;15;;;
211025;0000;17;;;
211026;0000;14;;;
211027;0000;13;;;
211028;0000;13;;;
211029;0000;12;;;
211030;0000;12;;;
211031;0000;14;;;
211101;0000;10;;;
211102;0000;;12;;
211103;0000;;9;;
211104;0000;;12;;
211105;0000;;11;;
211106;0000;;9;;
211107;0000;;10;;
211108;0000;;8;;
211109;0000;;9;;
211110;0000;;12;;
211111;0000;;9;;
211112;0000;;7;;
211113;0000;;9;;
211114;0000;;13;;
211115;0000;;8;;
211116;0000;;10;;
211117;0000;;10;;
211118;0000;;7;;
211119;0000;;7;;
211120;0000;;5;;
211121;0000;;4;;
211122;0000;;11;;
211123;0000;;11;;
211124;0000;;6;;
211125;0000;;11;;
211126;0000;9;;;
211127;0000;9;;;
211128;0000;11;;;
211129;0000;11;;;
211130;0000;11;;;
211201;0000;12;;;
211202;0000;8;;;
211203;0000;7;;;
211204;0000;7;;;
211205;0000;6;;;
211206;0000;8;;;
211207;0000;6;;;
211208;0000;9;;;
211209;0000;8;;;
211210;0000;7;;;
211211;0000;8;;;
211212;0000;8;;;
211213;0000;8;;;
211214;0000;9;;;
211215;0000;6;;;
211216;0000;7;;;
211217;0000;6;;;
211218;0000;5;;;
211219;0000;6;;;
211220;0000;10;;;
211221;0000;9;;;
211222;0000;7;;;
211223;0000;5;;;
211224;0000;5;;;
211225;0000;7;;;
211226;0000;5;;;
211227;0000;8;;;
211228;0000;9;;;
211229;0000;7;;;
211230;0000;8;;;
211231;0000;9;;;
220101;0000;7;;;
220102;0000;7;;;
220103;0000;7;;;
220104;0000;6;;;
220105;0000;4;;;
220106;0000;3;;;
220107;0000;4;;;
220108;0000;;5;;
220109;0000;;6;;
220110;0000;;7;;
220111;0000;;6;;
220112;0000;;5;;
220113;0000;;4;;
220114;0000;;8;;
220115;0000;;7;;
220116;0000;;4;;
220117;0000;;4;;
220118;0000;;4;;
220119;0000;;6;;
220120;0000;;8;;
220121;0000;;10;;
220122;0000;;7;;
220123;0000;;6;;
220124;0000;;6;;
220125;0000;;5;;
220126;0000;;7;;
220127;0000;;10;;
220128;0000;;9;;
220129;0000;;8;;
220130;0000;;7;;
220131;0000;;7;;
220201;0000;;6;;
220202;0000;;6;;
220203;0000;;3;;
220204;0000;;6;;
220205;0000;;5;;
220206;0000;;5;;
220207;0000;;5;;
220208;0000;10;;;
220209;0000;9;;;
220210;0000;8;;;
220211;0000;7;;;
220212;0000;6;;;
220213;0000;5;;;
220214;0000;7;;;
220215;0000;6;;;
220216;0000;7;;;
220217;0000;8;;;
220218;0000;5;;;
220219;0000;4;;;
220220;0000;4;;;
220221;0000;8;;;
220222;0000;7;;;
220223;0000;8;;;
220224;0000;11;;;
220225;0000;7;;;
220226;0000;8;;;
220227;0000;10;;;
220228;0000;9;;;
220301;0000;12;;;
220302;0000;6;;;
220303;0000;9;;;
220304;0000;8;;;
220305;0000;8;;;
220306;0000;2;;;
220307;0000;5;;;
220308;0000;6;;;
220309;0000;8;;;
220310;0000;6;;;
220311;0000;5;;;
220312;0000;5;;;
220313;0000;10;;;
220314;0000;7;;;
220315;0000;4;;;
220316;0000;7;;;
220317;0000;9;;;
220318;0000;7;;;
220319;0000;3;;;
220320;0000;4;;;
220321;0000;7;;;
220322;0000;9;;;
220323;0000;9;;;
220324;0000;9;;;
220325;0000;7;;;
220326;0000;6;;;
220327;0000;10;;;
220328;0000;9;;;
220329;0000;7;;;
220330;0000;;;;
220331;0000;;;;
220401;0000;5;;;
220402;0000;6;;;
220403;0000;8;;;
220404;0000;7;;;
220405;0000;4;;;
220406;0000;2;;;
220407;0000;3;;;
220408;0000;2;;;
220409;0000;2;;;
220410;0000;7;;;
220411;0000;7;;;
220412;0000;;;;
220413;0000;;;;
220414;0000;3;;;
220415;0000;5;;;
220416;0000;5;;;
220417;0000;3;;;
220418;0000;7;;;
220419;0000;8;;;
220420;0000;8;;;
220421;0000;5;;;
220422;0000;6;;;
220423;0000;10;;;
220424;0000;6;;;
220425;0000;5;;;
220426;0000;6;;;
220427;0000;3;;;
220428;0000;4;;;
220429;0000;5;;;
220430;0000;6;;;
220501;0000;4;;;
220502;0000;7;;;
220503;0000;6;;;
220504;0000;7;;;
220505;0000;10;;;
220506;0000;6;;;
220507;0000;8;;;
220508;0000;16;;;
220509;0000;12;;;
220510;0000;9;;;
220511;0000;2;;;
220512;0000;3;;;
220513;0000;11;;;
220514;0000;10;;;
220515;0000;3;;;
220516;0000;2;;;
220517;0000;2;;;
220518;0000;2;;;
220519;0000;1;;;
220520;0000;3;;;
220521;0000;7;;;
220522;0000;13;;;
220523;0000;13;;;
220524;0000;11;;;
220525;0000;10;;;
220526;0000;10;;;
220527;0000;9;;;
220528;0000;9;;;
220529;0000;7;;;
220530;0000;3;;;
220531;0000;1;;;
220601;0000;1;;;
220602;0000;1;;;
220603;0000;1;;;
220604;0000;8;;;
220605;0000;11;;;
220606;0000;11;;;
220607;0000;10;;;
220608;0000;10;;;
220609;0000;11;;;
220610;0000;10;;;
220611;0000;1;;;
220612;0000;1;;;
220613;0000;2;;;
220614;0000;3;;;
220615;0000;5;;;
220616;0000;13;;;
220617;0000;15;;;
220618;0000;13;;;
220619;0000;11;;;
220620;0000;9;;;
220621;0000;2;;;
220622;0000;1;;;
220623;0000;1;;;
220624;0000;2;;;
220625;0000;1;;;
220626;0000;8;;;
220627;0000;10;;;
220628;0000;5;;;
220629;0000;10;;;
220630;0000;8;;;
220701;0000;4;;;
220702;0000;6;;;
220703;0000;8;;;
220704;0000;11;;;
220705;0000;10;;;
220706;0000;6;;;
220707;0000;6;;;
220708;0000;2;;;
220709;0000;1;;;
220710;0000;13;;;
220711;0000;7;;;
220712;0000;10;;;
220713;0000;2;;;
220714;0000;8;;;
220715;0000;8;;;
220716;0000;7;;;
220717;0000;13;;;
220718;0000;16;;;
220719;0000;15;;;
220720;0000;16;;;
220721;0000;13;;;
220722;0000;5;;;
220723;0000;5;;;
220724;0000;8;;;
220725;0000;4;;;
220726;0000;5;;;
220727;0000;8;;;
220728;0000;15;;;
220729;0000;14;;;
220730;0000;12;;;
220731;0000;10;;;
220801;0000;9;;;
220802;0000;9;;;
220803;0000;5;;;
220804;0000;12;;;
220805;0000;7;;;
220806;0000;8;;;
220807;0000;9;;;
220808;0000;6;;;
220809;0000;13;;;
220810;0000;11;;;
220811;0000;11;;;
220812;0000;13;;;
220813;0000;9;;;
220814;0000;14;;;
220815;0000;14;;;
220816;0000;14;;;
220817;0000;11;;;
220818;0000;12;;;
220819;0000;10;;;
220820;0000;6;;;
220821;0000;8;;;
220822;0000;9;;;
220823;0000;11;;;
220824;0000;14;;;
220825;0000;13;;;
220826;0000;15;;;
220827;0000;12;;;
220828;0000;10;;;
220829;0000;5;;;
220830;0000;8;;;
220831;0000;10;;;
220901;0000;14;;;
220902;0000;14;;;
220903;0000;14;;;
220904;0000;15;;;
220905;0000;13;;;
220906;0000;6;;;
220907;0000;10;;;
220908;0000;8;;;
220909;0000;12;;;
220910;0000;11;;;
220911;0000;10;;;
220912;0000;6;;;
220913;0000;6;;;
220914;0000;6;;;
220915;0000;9;;;
220916;0000;9;;;
220917;0000;10;;;
220918;0000;8;;;
220919;0000;7;;;
220920;0000;6;;;
220921;0000;7;;;
220922;0000;10;;;
220923;0000;;;;
220924;0000;;;;
220925;0000;26;;;
220926;0000;29;;;
220927;0000;26;;;
220928;0000;23;;;
220929;0000;18;;;
220930;0000;20;;;
221001;0000;20;;;
221002;0000;13;;;
221003;0000;14;;;
221004;0000;24;;;
221005;0000;25;;;
221006;0000;25;;;
221007;0000;22;;;
221008;0000;23;;;
221009;0000;25;;;
221010;0000;24;;;
221011;0000;24;;;
221012;0000;24;;;
221013;0000;21;;;
221014;0000;18;;;
221015;0000;17;;;
221016;0000;11;;;
221017;0000;11;;;
221018;0000;16;;;
221019;0000;18;;;
221020;0000;22;;;
221021;0000;18;;;
221022;0000;19;;;
221023;0000;19;;;
221024;0000;19;;;
221025;0000;14;;;
221026;0000;23;;;
221027;0000;20;;;
221028;0000;20;;;
221029;0000;19;;;
221030;0000;16;;;
221031;0000;18;;;
221101;0000;16;;;
221102;0000;8;;;
221103;0000;11;;;
221104;0000;13;;;
221105;0000;14;;;
221106;0000;23;;;
221107;0000;12;;;
221108;0000;12;;;
221109;0000;15;;;
221110;0000;13;;;
221111;0000;11;;;
221112;0000;12;;;
221113;0000;13;;;
221114;0000;15;;;
221115;0000;17;;;
221116;0000;13;;;
221117;0000;8;;;
221118;0000;14;;;
221119;0000;16;;;
221120;0000;13;;;
221121;0000;14;;;
221122;0000;12;;;
221123;0000;14;;;
221124;0000;14;;;
221125;0000;13;;;
221126;0000;13;;;
221127;0000;9;;;
221128;0000;6;;;
221129;0000;11;;;
221130;0000;9;;;
221201;0000;6;;;
221202;0000;;;;
221203;0000;;;;
221204;0000;;;;
221205;0000;;;;
221206;0000;8;;;
221207;0000;4;;;
221208;0000;8;;;
221209;0000;7;;;
221210;0000;6;;;
221211;0000;6;;;
221212;0000;7;;;
221213;0000;8;;;
221214;0000;7;;;
221215;0000;7;;;
221216;0000;7;;;
221217;0000;7;;;
221218;0000;7;;;
221219;0000;5;;;
221220;0000;5;;;
221221;0000;5;;;
221222;0000;7;;;
221223;0000;6;;;
221224;0000;4;;;
221225;0000;4;;;
221226;0000;6;;;
221227;0000;5;;;
221228;0000;5;;;
221229;0000;6;;;
221230;0000;4;;;
221231;0000;4;;;
230101;0000;5;;;
230102;0000;4;;;
230103;0000;4;;;
230104;0000;2;;;
230105;0000;2;;;
230106;0000;1;;;
230107;0000;2;;;
230108;0000;2;;;
230109;0000;4;;;
230110;0000;3;;;
230111;0000;3;;;
230112;0000;3;;;
230113;0000;3;;;
230114;0000;4;;;
230115;0000;4;;;
230116;0000;4;;;
230117;0000;5;;;
230118;0000;5;;;
230119;0000;5;;;
230120;0000;2;;;
230121;0000;4;;;
230122;0000;9;;;
230123;0000;8;;;
230124;0000;10;;;
230125;0000;10;;;
230126;0000;10;;;
230127;0000;11;;;
230128;0000;9;;;
230129;0000;5;;;
230130;0000;11;;;
230131;0000;11;;;
230201;0000;11;;;
230202;0000;9;;;
230203;0000;8;;;
230204;0000;9;;;
230205;0000;11;;;
230206;0000;11;;;
230207;0000;10;;;
230208;0000;8;;;
230209;0000;12;;;
230210;0000;12;;;
230211;0000;12;;;
230212;0000;13;;;
230213;0000;10;;;
230214;0000;9;;;
230215;0000;12;;;
230216;0000;9;;;
230217;0000;7;;;
230218;0000;11;;;
230219;0000;12;;;
230220;0000;11;;;
230221;0000;11;;;
230222;0000;11;;;
230223;0000;13;;;
230224;0000;11;;;
230225;0000;13;;;
230226;0000;12;;;
230227;0000;11;;;
230228;0000;15;;;
230301;0000;;;;
230302;0000;13;;;
230303;0000;12;;;
230304;0000;11;;;
230305;0000;8;;;
230306;0000;14;;;
230307;0000;12;;;
230308;0000;10;;;
230309;0000;12;;;
230310;0000;10;;;
230311;0000;7;;;
230312;0000;14;;;
230313;0000;13;;;
230314;0000;13;;;
230315;0000;12;;;
230316;0000;12;;;
230317;0000;10;;;
230318;0000;7;;;
230319;0000;12;;;
230320;0000;10;;;
230321;0000;6;;;
230322;0000;12;;;
230323;0000;13;;;
230324;0000;11;;;
230325;0000;13;;;
230326;0000;14;;;
230327;0000;13;;;
230328;0000;12;;;
230329;0000;13;;;
230330;0000;11;;;
230331;0000;5;;;
230401;0000;12;;;
230402;0000;13;;;
230403;0000;13;;;
230404;0000;10;;;
230405;0000;7;;;
230406;0000;16;;;
230407;0000;14;;;
230408;0000;13;;;
230409;0000;16;;;
230410;0000;7;;;
230411;0000;6;;;
230412;0000;9;;;
230413;0000;6;;;
230414;0000;6;;;
230415;0000;8;;;
230416;0000;14;;;
230417;0000;13;;;
230418;0000;14;;;
230419;0000;10;;;
230420;0000;11;;;
230421;0000;16;;;
230422;0000;15;;;
230423;0000;15;;;
230424;0000;12;;;
230425;0000;9;;;
230426;0000;10;;;
230427;0000;11;;;
230428;0000;5;;;
230429;0000;21;;;
230430;0000;18;;;
230501;0000;18;;;
230502;0000;16;;;
230503;0000;18;;;
230504;0000;13;;;
230505;0000;15;;;
230506;0000;17;;;
230507;0000;15;;;
230508;0000;15;;;
230509;0000;12;;;
230510;0000;4;;;
230511;0000;16;;;
230512;0000;14;;;
230513;0000;11;;;
230514;0000;13;;;
230515;0000;10;;;
230516;0000;21;;;
230517;0000;21;;;
230518;0000;18;;;
230519;0000;16;;;
230520;0000;7;;;
230521;0000;11;;;
230522;0000;9;;;
230523;0000;8;;;
230524;0000;13;;;
230525;0000;18;;;
230526;0000;17;;;
230527;0000;19;;;
230528;0000;16;;;
230529;0000;11;;;
230530;0000;11;;;
230531;0000;16;;;
230601;0000;8;;;
230602;0000;16;;;
230603;0000;15;;;
230604;0000;16;;;
230605;0000;9;;;
230606;0000;20;;;
230607;0000;15;;;
230608;0000;13;;;
230609;0000;14;;;
230610;0000;14;;;
230611;0000;19;;;
230612;0000;16;;;
230613;0000;10;;;
230614;0000;15;;;
230615;0000;12;;;
230616;0000;7;;;
230617;0000;10;;;
230618;0000;13;;;
230619;0000;4;;;
230620;0000;3;;;
230621;0000;3;;;
230622;0000;12;;;
230623;0000;12;;;
230624;0000;6;;;
230625;0000;6;;;
230626;0000;15;;;
230627;0000;5;;;
230628;0000;6;;;
230629;0000;5;;;
230630;0000;4;;;
